11 0.5567269627339427 0.0011274618349517308 0.5166823221539617 3.132731776533454 0.01807002033424554 -0.0015628309378957154       0.5571182936697067 0.0007729549005622471 0.5190823708861217 3.1337972678603214 0.01443346856080044 -0.0022175517675148125
12 0.556718263829721 0.0011457872885792249 0.516651590979874 3.132729141044327 0.018135494180147975 -0.001529410390999447       0.5571240940196895 0.0007847323798894396 0.5190655833932005 3.1338051667954336 0.01441888336848629 -0.0022152525371138382
13 0.55671844894507 0.0011556542900199192 0.5166506398163596 3.132728405360523 0.018135149250976056 -0.001511725675646225       0.5571303923735063 0.0007975210447272916 0.5190473545672799 3.133813065695347 0.014404298158013064 -0.0022129534224157
14 0.5567205787871589 0.0011598235522860601 0.5166530501668553 3.1327282394026996 0.018123408876514088 -0.0015043251782202525       0.5571371877106575 0.0008113188229743467 0.5190276873619113 3.133820964560065 0.014389712929381737 -0.0022106544234194885
15 0.5567290393623439 0.0011657130591325006 0.5166620923987503 3.1327284550140777 0.018077783525461296 -0.0014940001712051008       0.5571444790106433 0.0008261236425291487 0.519006584730646 3.1338288633895917 0.014375127682593303 -0.002208355540124297
16 0.556741070097247 0.0011687053980464059 0.5166734536701306 3.1327291996384976 0.01801455640667872 -0.0014889102479589435       0.5571522652529641 0.0008419334312902414 0.518984049627035 3.133836762183929 0.01436054241764876 -0.0022060567725292204
17 0.556758767254077 0.001170082629267892 0.516687797381509 3.1327305343646716 0.017923893242729146 -0.0014867752865937033       0.5571605454171202 0.0008587461171561685 0.5189600850046298 3.1338446609430815 0.014345957134549094 -0.0022037581206333498
18 0.5567827015405414 0.0011706699065479223 0.5167035284826439 3.132732496606591 0.0178047640231063 -0.00148604605550818       0.557169318482612 0.0008765596280254737 0.5189346938169814 3.133852559667052 0.014331371833295286 -0.0022014595844357786
19 0.5568025209992775 0.0011712284476736435 0.5167137126983702 3.1327341552852164 0.01770877306660753 -0.0014852506484182265       0.5571785834289398 0.0008953718917967008 0.5189078790176411 3.1338604583558434 0.014316786513888343 -0.0021991611639356023
20 0.5568348733971281 0.0011722589472255478 0.5167268812743495 3.1327369652659627 0.01755538268212994 -0.0014836292936740818       0.557188339235604 0.0009151808363683933 0.5188796435601603 3.13386835700946 0.014302201176329259 -0.002196862859131915
21 0.5568597776304307 0.001173291835634155 0.5167368214341311 3.132739190988531 0.0174375412348083 -0.0014819545955318005       0.5571985848821047 0.0009359843896390954 0.5188499903980898 3.133876255627904 0.014287615820618998 -0.002194564670023806
22 0.5568872597045086 0.0011751020528055684 0.5167477670217161 3.1327416681422084 0.01730753655633275 -0.0014789124411221405       0.5572093193479426 0.0009577804795073503 0.5188189224849813 3.13388415421118 0.01427303044675858 -0.002192266596610374
23 0.5569112380047682 0.0011777542666454976 0.5167572976099827 3.1327438316866205 0.017194123136267135 -0.0014743265987810761       0.5572205416126179 0.000980567033871702 0.5187864427743858 3.1338920527592906 0.014258445054748981 -0.0021899686388907086
24 0.5569412645729245 0.0011833526286764325 0.5167692030264793 3.1327465209399254 0.01705211196881003 -0.001464488932592112       0.5572322506556309 0.0010043419806306942 0.5187525542198544 3.133899951272239 0.014243859644591194 -0.0021876707968639065
25 0.5569639870119225 0.0011901728766998223 0.5167781853099715 3.1327485194587066 0.016944643446441726 -0.0014524005683294544       0.5572444454564819 0.0010291032476828707 0.5187172597749387 3.1339078497500292 0.014229274216286211 -0.0021853730705290626
26 0.556984186545265 0.0011991945964815445 0.5167861386463878 3.1327502494587782 0.016849103787635423 -0.0014363371113872503       0.5572571249946713 0.0010548487629267749 0.5186805623931896 3.1339157481926643 0.014214688769835023 -0.0021830754598852697
27 0.5570031504892968 0.0012118631005926428 0.5167935607047568 3.1327518036481816 0.016759401448018286 -0.001413711241539801       0.5572702882496994 0.0010815764542609512 0.5186424650281584 3.133923646600147 0.014200103305238614 -0.0021807779649316203
28 0.557015968979468 0.0012244354006737748 0.5167985371695671 3.1327527824974863 0.016698756112715058 -0.001391213968411031       0.5572839342010666 0.0011092842495839428 0.5186029706333964 3.1339315449724814 0.014185517822497988 -0.0021784805856672135
29 0.5570272993023309 0.0012407664934560067 0.51680287988514 3.132753556641397 0.016645140899712394 -0.0013619513993455184       0.5572980618282732 0.0011379700767942934 0.5185620821624548 3.1339394433096706 0.014170932321614125 -0.0021761833220911397
30 0.5570355840708705 0.0012595916901846382 0.5168059793851743 3.1327540044708715 0.0166059262107789 -0.0013281839091171966       0.5573126701108196 0.0011676318637905468 0.518519802568885 3.1339473416117176 0.014156346802588019 -0.002173886174202496
31 0.5570419566051814 0.0012876944389678103 0.5168076914311656 3.1327540375612704 0.01657615430794453 -0.001277743403866298       0.557327758028206 0.001198267538471247 0.5184761348062377 3.1339552398786266 0.01414176126542066 -0.002171589142000377
32 0.5570443527045219 0.001319461354908606 0.5168049231334555 3.1327533173923165 0.016567546120487043 -0.0012207374507634593       0.557343324559933 0.0012298750287349377 0.5184310818280647 3.1339631381104 0.014127175710113042 -0.002169292225483876
33 0.557044436034818 0.0013378170547587317 0.5168007915312769 3.1327527126825188 0.01657054824386264 -0.0011877553499656914       0.5573593686855006 0.001262452262480162 0.5183846465879169 3.133971036307041 0.014112590136666145 -0.0021669954246520892
34 0.5570438220816104 0.001359739846738707 0.5167931264000346 3.132751870715028 0.016579748520269787 -0.001148309823316795       0.5573758893844094 0.0012959971676054646 0.5183368320393459 3.1339789344685545 0.01409800454508097 -0.0021646987395041116
35 0.5570426561091418 0.0013856274256456391 0.5167798734515213 3.1327507626994375 0.01659639634881182 -0.0011016460057022884       0.5573928856361596 0.0013305076720093885 0.5182876411359024 3.133986832594942 0.014083418935358511 -0.002162402170039039
36 0.5570412176069389 0.0014190425400583268 0.5167558797284434 3.132749227059321 0.01662392774360237 -0.001041273812720486       0.5574103564202517 0.0013659817035904778 0.518237076831138 3.133994730686208 0.014068833307499749 -0.0021601057162559667
37 0.5570404891672315 0.0014477242740549587 0.5167294308105842 3.132747862783816 0.016650732056509913 -0.0009893346524639554       0.5574283007161859 0.001402417190247276 0.5181851420786037 3.1340026287423557 0.014054247661505672 -0.0021578093781539887
38 0.557040525430394 0.0014775132290623097 0.5166966949653344 3.1327464395417874 0.01667995049405599 -0.0009352833677563547       0.5574467175034625 0.0014398120598783266 0.518131839831851 3.1340105267633875 0.014039661997377276 -0.002155513155732202
39 0.5570427675809329 0.0015258605076543905 0.5166334387658549 3.1327441830898417 0.016727136516498986 -0.0008473529144872777       0.557465605761582 0.0014781642403821744 0.5180771730444308 3.134018424749308 0.01402507631511556 -0.0021532170489897027
40 0.5570454281265751 0.0015542900411074996 0.5165912779859527 3.132742904311634 0.016753568791183723 -0.000795547517759346       0.5574849644700446 0.0015174716596573618 0.5180211446698946 3.13402632270012 0.014010490614721498 -0.0021509210579255846
41 0.5570497317811524 0.001586740786570304 0.5165393780242912 3.132741507209904 0.01678165651015049 -0.0007363390399911231       0.5575047926083507 0.0015577322456024334 0.5179637576617936 3.1340342206158267 0.013995904896196091 -0.0021486251825389453
42 0.5570555550395542 0.0016196610882670162 0.5164831702464752 3.132740179656395 0.01680702829401526 -0.0006762028380577216       0.5575250891560006 0.0015989439261159322 0.5179050149736788 3.1340421184964313 0.013981319159540326 -0.0021463294228288806
43 0.5570648845765221 0.001660541433922514 0.516409298765184 3.1327386834708797 0.016833070334350015 -0.0006014450260213108       0.5575458530924947 0.0016411046290964028 0.5178449195591016 3.134050016341938 0.013966733404755193 -0.002144033778794486
44 0.5570755148709464 0.0016982466679417037 0.5163381308760013 3.1327374673914137 0.016850981399803785 -0.0005324342477876532       0.5575670833973334 0.0016842122824423883 0.5177834743716134 3.134057914152349 0.013952147631841685 -0.0021417382504348597
45 0.5570881428366722 0.0017363484720913098 0.5162641964820487 3.132736407577293 0.016862643767509462 -0.00046265935240771843       0.5575887790500169 0.0017282648140524329 0.5177206823647651 3.1340658119276683 0.013937561840800798 -0.0021394428377490967
