time,x,y,z,rx,ry,rz,rw
1408,0.003001851370490749,0.0023088236326647277,0.0007436616816517416,9.097446632133632e-06,-0.0013294309209879863,-0.004317297625030385,-0.00046572602002078675
1409,0.0026190983172640347,0.002151333055077205,0.0007601091544091054,9.000080637422414e-06,-0.0013288228005200364,-0.0042925837902103095,-0.0004693963189655895
1410,0.0022531840259804037,0.002000791343901201,0.0007945740298221371,8.788499073597578e-06,-0.0013275112396813771,-0.004237853248621447,-0.00048280632643156907
1411,0.0024664707650259854,0.0024198216628183444,0.0007945740298221371,8.788499073597578e-06,-0.0013275112396813771,-0.004237853248621447,-0.00048280632643156907
1412,0.0025380816703294284,0.0026957003271573104,0.0008027084461829648,8.715319535279598e-06,-0.001327152293081914,-0.0042183458181425165,-0.0004913463889820519
1413,0.002441966020520492,0.002796909434795339,0.0008393626882582383,8.496362295495885e-06,-0.001325757256988534,-0.004159611201139812,-0.0005147571994819319
1414,0.0024939643597209904,0.0030440427042802004,0.0008691864228786983,8.344957922790108e-06,-0.0013246087729048262,-0.004118538545507401,-0.0005301258447038729
1415,0.0024880280799359777,0.003203283502602676,0.0009081564226913752,8.122949365474419e-06,-0.0013228476454462661,-0.004057935597848447,-0.0005478051861926662
1416,0.002532262808693009,0.0033924331232771943,0.0009387889989633247,7.947322387735767e-06,-0.0013213121050367907,-0.004010437882195934,-0.0005515058001607159
1417,0.00249418301906823,0.003412304880556133,0.0009800501086934532,7.703198108832687e-06,-0.00131903055796187,-0.0039460253928291405,-0.0005332722888034695
1418,0.0024745051586274047,0.003404761311378915,0.0010068206689658465,7.511040504226685e-06,-0.0013173179474299489,-0.003896950684492441,-0.0004937765837332566
1419,0.002518314422021828,0.0034839629218784626,0.0010241808577965972,7.390948977503697e-06,-0.0013163036506321744,-0.0038672307117996255,-0.0004517566344532433
1420,0.002540315656183678,0.0034943256099792055,0.0010420135183183965,7.278951821176882e-06,-0.001315464104561619,-0.0038402493579606295,-0.00039256174394978365
1421,0.0025151871084079236,0.0033810460989935967,0.0010472874401034615,7.181917580645347e-06,-0.0013152965947121216,-0.0038170002624783456,-0.0003150136702514656
