px py pz ox oy oz ow
0.47722 -0.0859914 0.173931 0.999189 0.0300176 0.021716 0.0157776
0.475443 -0.0857365 0.174641 0.999198 0.029781 0.0219608 0.0153173
0.473481 -0.0855307 0.175238 0.999213 0.0294618 0.0220588 0.0148218
0.471689 -0.0854374 0.175839 0.999227 0.0290617 0.0222255 0.0143761
0.469966 -0.0854424 0.176323 0.999245 0.0285964 0.0223065 0.0139581
0.468106 -0.0856233 0.176691 0.99927 0.0279508 0.0222558 0.0135264
0.466421 -0.0858917 0.176705 0.999295 0.0274955 0.0218986 0.0131546
0.464689 -0.0862311 0.176355 0.99933 0.0269677 0.02118 0.0127851
0.462735 -0.0866898 0.175713 0.999375 0.0263055 0.0201314 0.0123789
0.461086 -0.0871043 0.174858 0.999418 0.0256874 0.0189284 0.0120487
0.459467 -0.0875608 0.173713 0.999466 0.0250014 0.0174439 0.0117382
0.45792 -0.0879439 0.172511 0.999512 0.0243346 0.0159139 0.0114392
0.456517 -0.0882377 0.171448 0.999549 0.023779 0.0145447 0.0111623
0.455231 -0.0884853 0.170495 0.999581 0.0232912 0.0133055 0.0109053
0.453902 -0.0887386 0.169501 0.999612 0.0227844 0.0120145 0.0106383
0.452672 -0.0889511 0.168577 0.999638 0.022325 0.0108146 0.0103895
0.451372 -0.0891838 0.167612 0.999665 0.0218352 0.00955623 0.0101282
0.450095 -0.0894324 0.166684 0.999689 0.0213293 0.00833994 0.00987141
0.448611 -0.0897385 0.165595 0.999716 0.0207161 0.00691022 0.00957398
0.447433 -0.0899736 0.164743 0.999735 0.0202461 0.0057866 0.00934015
0.446151 -0.0901704 0.163817 0.999744 0.0201163 0.00451938 0.00927098
0.444748 -0.0902475 0.162775 0.999756 0.0199176 0.00312287 0.00906525
0.443465 -0.0902394 0.161821 0.999766 0.0196754 0.0018572 0.00879261
0.441866 -0.0901571 0.160625 0.999775 0.0194374 0.000269763 0.00844635
0.440629 -0.0900751 0.159698 0.999781 0.0192659 -0.000968131 0.00817507
